Date,Adenovirus,Bocavirus,Coronavirus,Enterovirus,Metapneumovirus,Parainfluenza,Parechovirus,RSV,Rhinovirus,Rubulavirus,Influenza,Polyomavirus,SARS-CoV-2
Jan-26-2022,0.774187925,0.943791758,0.183913242,0.785007139,0.472064558,0.670870281,0.738769324,0.274075948,0.366705948,0.889491551,0.548523521,0.85037716,0.460261134
Feb-10-2022,0.75720784,0.868109227,0.803319896,0.745884124,0.738404502,0.821836201,0.762891641,0.591378663,0.259350157,0.085250304,0.706920994,0.193104867,0.398607712
Feb-16-2022,0.338945242,0.158817956,0.05359912,0.733631274,0.682070244,0.061480486,0.196819671,0.261096426,0.522507268,0.685968542,0.379401234,0.564896332,0.283305601
Feb-22-2022,0.662656452,0.868570819,0.271632925,0.088831364,0.034616893,0.425890929,0.963701544,0.759087711,0.420042805,0.96808658,0.671489915,0.655925582,0.496961721
Mar-02-2022,0.215767162,0.016497152,0.932926629,0.479714005,0.223205964,0.776224238,0.849325509,0.015539916,0.465839968,0.091208386,0.524175211,0.06772549,0.597522187
Mar-08-2022,0.349036961,0.656438022,0.707115513,0.446475946,0.45158033,0.171447564,0.679686543,0.951884322,0.518028288,0.813556033,0.701598655,0.977123388,0.220573269
Mar-16-2022,0.932541482,0.428429726,0.084284375,0.061686924,0.769212941,0.824012128,0.907356858,0.005420951,0.86997669,0.361464775,0.903505833,0.850872898,0.953271882
Mar-23-2022,0.249584323,0.939050997,0.809728734,0.056068527,0.807056973,0.440340422,0.497193653,0.604918521,0.128585331,0.784089144,0.662255345,0.526099804,0.809836036
Mar-30-2022,0.958505245,0.83048937,0.068187979,0.419955992,0.041717056,0.755960017,0.270881553,0.145374627,0.428831315,0.008523275,0.049611984,0.260247387,0.094656071
Apr-04-2022,0.876917103,0.208500311,0.609091778,0.14117932,0.943272111,0.481305143,0.541472648,0.169137564,0.107995044,0.441852219,0.102319573,0.428939588,0.386231261
Apr-11-2022,0.025379261,0.324457621,0.049633735,0.107163459,0.36341727,0.352027559,0.04578225,0.198960475,0.802036947,0.977139074,0.758294821,0.902310469,0.156879687
Apr-18-2022,0.635775305,0.999041779,0.155815663,0.84485888,0.049104456,0.443417289,0.6927403,0.686726664,0.378839031,0.099944623,0.283401004,0.031431996,0.862288044
Apr-25-2022,0.308557073,0.101925522,0.29948711,0.890716256,0.104346414,0.626633789,0.540182835,0.10493578,0.812764138,0.122962571,0.001051391,0.042151869,0.277896662
May-03-2022,0.650955893,0.309624491,0.954091866,0.448240299,0.084856414,0.13566351,0.87337519,0.97922584,0.169226843,0.166126801,0.000512513,0.601118942,0.901162673
May-09-2022,0.401289944,0.295981353,0.505228478,0.594625503,0.912527206,0.788612712,0.38161639,0.313818266,0.120188179,0.477168237,0.468888192,0.277774647,0.797213953
May-16-2022,0.341220289,0.806703058,0.729747789,0.662959865,0.462996584,0.387890372,0.909391139,0.84610538,0.196869321,0.076079072,0.781028872,0.984686947,0.625600179
May-23-2022,0.732958727,0.721907804,0.687740886,0.846944049,0.609940403,0.659252072,0.754265623,0.16082786,0.94038627,0.455448314,0.871702254,0.822527513,0.159263507
May-31-2022,0.932119116,0.719524567,0.765957962,0.307039516,0.96520127,0.36226555,0.274096201,0.448146676,0.150574914,0.538800176,0.919355996,0.169235781,0.727061118
Jun-06-2022,0.19756116,0.087609111,0.938082022,0.079274342,0.115405761,0.668595602,0.386567911,0.150330619,0.482408048,0.811094605,0.143443916,0.036861461,0.357631719
Jun-13-2022,0.183350874,0.951650928,0.58633747,0.159670245,0.979564929,0.265998128,0.702235191,0.865181771,0.777799631,0.998414823,0.532398626,0.978369724,0.627257772
Jun-20-2022,0.811274853,0.713348447,0.097252534,0.705025268,0.146067443,0.32789821,0.725122041,0.151191076,0.799274862,0.849115376,0.187914621,0.145809501,0.832767849
Jun-27-2022,0.820456876,0.640953102,0.2196126,0.260650736,0.028340804,0.962843697,0.033312367,0.295489113,0.130576176,0.820388086,0.563312052,0.713483573,0.406270701
Jul-05-2022,0.377702531,0.006298492,0.817783948,0.0343593,0.637102799,0.137485039,0.731703229,0.825891862,0.499939559,0.771795163,0.069866962,0.828047006,0.978877858
Jul-11-2022,0.043216954,0.333948437,0.068576273,0.428629561,0.402248477,0.591260133,0.75511852,0.601836869,0.308520721,0.750873403,0.284005235,0.109984702,0.914263783
Jul-18-2022,0.154188982,0.114575428,0.42413186,0.723722399,0.209337756,0.484684401,0.708145528,0.038683188,0.323933613,0.604293037,0.067847286,0.162930342,0.382876503
Jul-25-2022,0.42740623,0.346686978,0.944871895,0.656403727,0.32116066,0.698544202,0.752321525,0.188143214,0.69947976,0.493158552,0.851371453,0.397114825,0.653059112
Aug-01-2022,0.712671466,0.473939916,0.454912113,0.875598632,0.045759145,0.085702149,0.556450524,0.949172642,0.231907281,0.114211284,0.811616537,0.027908712,0.674087617
Aug-08-2022,0.71692736,0.05051507,0.40764177,0.90204651,0.398154387,0.505169726,0.72030342,0.859426613,0.064625362,0.160095669,0.026551486,0.316633154,0.577718705
Aug-09-2022,0.066379546,0.132823171,0.098683358,0.778733711,0.175681903,0.704755088,0.329579533,0.449439747,0.107700134,0.014238937,0.42430265,0.873471023,0.145048466
Aug-10-2022,0.918462184,0.27006401,0.187285484,0.470884278,0.537193942,0.981518672,0.892579488,0.456917254,0.959777866,0.988663701,0.934310143,0.450027999,0.348057545
Aug-16-2022,0.761839395,0.838825153,0.342412608,0.229818509,0.913196434,0.059697956,0.211043638,0.250450992,0.780966449,0.316155458,0.785106291,0.935926098,0.038294948
Aug-22-2022,0.256118436,0.243052313,0.05193686,0.088218769,0.941312973,0.357033536,0.087475299,0.10434576,0.691060209,0.720290467,0.490672017,0.835830145,0.660148843
Aug-29-2022,0.642567801,0.665678595,0.619008927,0.752023658,0.033113931,0.413673047,0.840064266,0.839469509,0.245207417,0.908378476,0.218049651,0.799929212,0.74667658
Sep-06-2022,0.404562841,0.457747436,0.815152987,0.204455183,0.965535668,0.077254632,0.917793176,0.001703044,0.256998508,0.160472937,0.440606543,0.4120639,0.391540099
Sep-12-2022,0.901264922,0.984382693,0.362304914,0.973289055,0.453906783,0.046726525,0.574876909,0.153847452,0.752374668,0.775182896,0.355216498,0.654779209,0.428293653
Sep-19-2022,0.218404276,0.144608187,0.103693748,0.112909236,0.160179018,0.639942039,0.970903919,0.14672521,0.858642838,0.916348014,0.189087348,0.958634826,0.826019019
Sep-26-2022,0.71953596,0.269007285,0.472611512,0.241328553,0.933335254,0.349395461,0.419580888,0.162618209,0.766844678,0.175955163,0.376310672,0.921900391,0.819929811
Oct-03-2022,0.509206414,0.381096112,0.803035687,0.717573083,0.412646329,0.772579988,0.333492397,0.111225566,0.853644371,0.746404367,0.227606068,0.617743602,0.92861958
Oct-10-2022,0.931982861,0.998331215,0.187279204,0.485879076,0.062189646,0.851216042,0.582117808,0.523868496,0.460400509,0.175403431,0.425084188,0.413275637,0.724445405
Oct-17-2022,0.491681499,0.700052081,0.295837758,0.443855473,0.223293561,0.454064963,0.844389869,0.264696281,0.980963329,0.09235118,0.22564834,0.497881464,0.77734163
Oct-24-2022,0.387960106,0.479160797,0.641281844,0.279373825,0.433892848,0.55070786,0.416426088,0.201486622,0.233438912,0.556874991,0.320827803,0.623304877,0.626391047
Oct-31-2022,0.442160074,0.568646022,0.389352691,0.746399699,0.468025291,0.742348363,0.921268661,0.003739456,0.6525817,0.730909692,0.450631013,0.857235962,0.075647472
Nov-07-2022,0.944855159,0.874342555,0.922419866,0.641447727,0.593968148,0.075755846,0.134119936,0.790822842,0.643071018,0.007585817,0.002084206,0.825306475,0.460223464
Nov-14-2022,0.737585494,0.98241603,0.24691756,0.31618133,0.999907431,0.611323714,0.67265254,0.17591015,0.366318053,0.380155657,0.954394624,0.919514956,0.046748919
Nov-21-2022,0.300081651,0.7159541,0.954782458,0.927772556,0.596184883,0.997009736,0.984378927,0.177229616,0.153777028,0.175024658,0.483927054,0.715885159,0.655128599
Nov-29-2022,0.784853399,0.089013519,0.450866749,0.113555799,0.04618021,0.413789093,0.090083761,0.131153728,0.786438761,0.867599835,0.070554358,0.370030697,0.580880637
Dec-05-2022,0.913709556,0.60991594,0.360805156,0.104244495,0.762504035,0.67649098,0.602737318,0.805313967,0.410909759,0.796556872,0.213162229,0.934042877,0.94161083
Dec-12-2022,0.965033818,0.57530071,0.347849463,0.23808083,0.5861701,0.771834021,0.879304435,0.981046079,0.102283758,0.633896462,0.993181217,0.530503824,0.762363586
Dec-19-2022,0.806982976,0.758747853,0.113244575,0.612808042,0.725698107,0.715353453,0.40696345,0.699258449,0.109833888,0.204345728,0.99317491,0.009505956,0.574942298
Dec-28-2022,0.423620375,0.70229778,0.005597661,0.628831601,0.250384546,0.046333756,0.598841307,0.157858901,0.783572073,0.337158397,0.287738482,0.068106667,0.602934117
Jan-03-2023,0.362504146,0.062765054,0.909495571,0.557913762,0.542712992,0.241690516,0.809604672,0.074305746,0.48003172,0.424089542,0.402953751,0.930125521,0.891590174
Jan-09-2023,0.556474122,0.251557198,0.118446159,0.712960932,0.510566002,0.369112664,0.37273056,0.472584734,0.942933256,0.850358878,0.152410061,0.869206324,0.062159108
Jan-17-2023,0.040394262,0.494478126,0.926644255,0.970104558,0.310254357,0.415751524,0.325348007,0.563814784,0.874741282,0.579085199,0.837314935,0.093724081,0.624221672
Jan-23-2023,0.559634987,0.33179247,0.971425157,0.420520562,0.341260579,0.144691029,0.998622863,0.461263144,0.569922047,0.367578188,0.075309806,0.428305381,0.63638078
Jan-30-2023,0.527931918,0.596669928,0.343125586,0.480044006,0.858088473,0.172053714,0.562233647,0.609352871,0.898541213,0.571034095,0.811068214,0.650226491,0.040346407
Feb-06-2023,0.962273955,0.50243657,0.525428151,0.963253715,0.931022121,0.284223795,0.865087216,0.724224121,0.846557463,0.874390523,0.902635465,0.277300817,0.616865036
Feb-13-2023,0.029269903,0.186213596,0.670659048,0.273508378,0.388172782,0.412897134,0.14786697,0.327195423,0.607201862,0.989992958,0.689758851,0.747249451,0.276587874
Feb-20-2023,0.12791043,0.588675569,0.092682306,0.195500379,0.773424242,0.575481375,0.820550701,0.561161499,0.376842085,0.88348953,0.660736662,0.30731297,0.16333761
Feb-27-2023,0.843961771,0.303863955,0.642998456,0.249869218,0.485788174,0.307789318,0.23330536,0.675319774,0.916230153,0.940993675,0.002123336,0.291754785,0.188327477
Mar-06-2023,0.401909365,0.191658667,0.085989377,0.409698504,0.998610784,0.197005648,0.137606575,0.96269686,0.250967138,0.290045743,0.770800652,0.002163152,0.667144065
Mar-13-2023,0.621839587,0.182922077,0.672754756,0.52496337,0.964768171,0.926949281,0.200920969,0.899148111,0.195396019,0.652817794,0.025075657,0.185316017,0.932300245
Mar-20-2023,0.550349275,0.612155497,0.179093944,0.218209518,0.783148947,0.637250994,0.444244991,0.794651322,0.163718678,0.828612426,0.712431563,0.058713762,0.625980126
Mar-27-2023,0.620916017,0.177941677,0.733594042,0.925621095,0.166774506,0.919364734,0.855155843,0.189532068,0.114889661,0.778313442,0.680091932,0.757738376,0.670407472
Apr-03-2023,0.203503342,0.891490886,0.267529205,0.045165846,0.62685461,0.124928867,0.358969048,0.498958993,0.893251562,0.614315597,0.532011263,0.957649838,0.605265832
